agent,t,sigma,wager,m_over_b
1,94,0.8253244974519152,0.8777271482163405,0.8777271482163405
1,95,0.8149457806672394,0.8704620464670676,0.8704620464670676
1,96,0.7827296363546828,0.8479107454482779,0.8479107454482779
1,97,0.796027559109872,0.8572192913769103,0.8572192913769103
1,98,0.8147561668667425,0.8703293168067197,0.8703293168067197
1,99,0.8132793185966797,0.8692955230176758,0.8692955230176758
1,100,0.8288831618383907,0.8802182132868734,0.8802182132868734
1,101,0.832150955949898,0.8825056691649285,0.8825056691649285
1,102,0.82563525032808,0.877944675229656,0.877944675229656
1,103,0.8149881010405413,0.870491670728379,0.870491670728379
1,104,0.7847823069676272,0.8493476148773389,0.8493476148773389
1,105,0.7555122080197405,0.8288585456138182,0.8288585456138182
1,106,0.7771017104428378,0.8439711973099864,0.8439711973099864
1,107,0.786952653068931,0.8508668571482516,0.8508668571482516
1,108,0.8027619790956676,0.8619333853669673,0.8619333853669673
1,109,0.7952818329562945,0.8566972830694062,0.8566972830694062
1,110,0.8063959632493901,0.8644771742745729,0.8644771742745729
1,111,0.8184432215689367,0.8729102550982557,0.8729102550982557
1,112,0.7865267361909138,0.8505687153336396,0.8505687153336396
1,113,0.7674897925886348,0.8372428548120443,0.8372428548120443
1,114,0.7739702479567762,0.8417791735697433,0.8417791735697433
1,115,0.7910606947657176,0.8537424863360024,0.8537424863360024
1,116,0.7494959651089443,0.824647175576261,0.824647175576261
1,117,0.708879800711471,0.7962158604980296,0.7962158604980296
1,118,0.7406195295099609,0.8184336706569726,0.8184336706569726
1,119,0.7596843688413709,0.8317790581889597,0.8317790581889597
1,120,0.7156742290581496,0.8009719603407046,0.8009719603407046
1,121,0.7446564277930695,0.8212594994551485,0.8212594994551485
1,122,0.767313726130325,0.8371196082912276,0.8371196082912276
1,123,0.7879724372507515,0.851580706075526,0.851580706075526
1,124,0.8090116856275187,0.8663081799392631,0.8663081799392631
1,125,0.8225988341081419,0.8758191838756992,0.8758191838756992
1,126,0.8143111511918417,0.8700178058342891,0.8700178058342891
1,127,0.8288450520416684,0.8801915364291677,0.8801915364291677
1,128,0.8237228230626278,0.8766059761438394,0.8766059761438394
1,129,0.836983234247989,0.8858882639735923,0.8858882639735923
1,130,0.8243383209166719,0.8770368246416702,0.8770368246416702
1,131,0.8376068730139926,0.8863248111097948,0.8863248111097948
1,132,0.8336623132836276,0.8835636192985392,0.8835636192985392
1,133,0.8497268202298474,0.894808774160893,0.894808774160893
1,134,0.787020543561543,0.8509143804930801,0.8509143804930801
1,135,0.7915051602781457,0.854053612194702,0.854053612194702
1,136,0.8051131495257897,0.8635792046680528,0.8635792046680528
1,137,0.7928225098711278,0.8549757569097893,0.8549757569097893
1,138,0.8077923579860583,0.8654546505902407,0.8654546505902407
1,139,0.8045201851881087,0.8631641296316761,0.8631641296316761
1,140,0.8137620075500754,0.8696334052850527,0.8696334052850527
1,141,0.7966426369962933,0.8576498458974053,0.8576498458974053
1,142,0.793238865406136,0.8552672057842952,0.8552672057842952
1,143,0.8060226924899007,0.8642158847429304,0.8642158847429304
1,144,0.8181899973651743,0.872732998155622,0.872732998155622
1,145,0.7841011303665033,0.8488707912565523,0.8488707912565523
1,146,0.8079561426827088,0.8655692998778961,0.8655692998778961
1,147,0.8176627292583486,0.872363910480844,0.872363910480844
1,148,0.8139636606306393,0.8697745624414475,0.8697745624414475
1,149,0.8138605881175797,0.8697024116823058,0.8697024116823058
1,150,0.8273815523680015,0.8791670866576009,0.8791670866576009
1,151,0.8230125125519445,0.8761087587863612,0.8761087587863612
1,152,0.8373669663554215,0.886156876448795,0.886156876448795
1,153,0.8497111537374704,0.8947978076162293,0.8947978076162293
1,154,0.835808808089118,0.8850661656623826,0.8850661656623826
1,155,0.851372654154633,0.895960857908243,0.895960857908243
1,156,0.8053553303516219,0.8637487312461352,0.8637487312461352
1,157,0.759125617711655,0.8313879323981583,0.8313879323981583
1,158,0.7858151834183399,0.8500706283928379,0.8500706283928379
1,159,0.7840622556943354,0.8488435789860347,0.8488435789860347
1,160,0.801463155861187,0.8610242091028308,0.8610242091028308
1,161,0.8118732506119638,0.8683112754283746,0.8683112754283746
1,162,0.8273899759376527,0.8791729831563568,0.8791729831563568
1,163,0.837346246363479,0.8861423724544353,0.8861423724544353
1,164,0.8490869698535616,0.894360878897493,0.894360878897493
1,165,0.8407152650260064,0.8885006855182045,0.8885006855182045
1,166,0.8473406911219187,0.8931384837853431,0.8931384837853431
1,167,0.8538449425705735,0.8976914597994015,0.8976914597994015
1,168,0.8548868013753752,0.8984207609627626,0.8984207609627626
1,169,0.8328597439856152,0.8830018207899306,0.8830018207899306
1,170,0.8247501992283862,0.8773251394598702,0.8773251394598702
1,171,0.8345292390980571,0.8841704673686399,0.8841704673686399
1,172,0.8249347806068686,0.8774543464248079,0.8774543464248079
1,173,0.8393851280809176,0.8875695896566422,0.8875695896566422
1,174,0.8318909282698991,0.8823236497889293,0.8823236497889293
1,175,0.8445907066759367,0.8912134946731556,0.8912134946731556
1,176,0.7886934933770697,0.8520854453639488,0.8520854453639488
1,177,0.7999260944745628,0.8599482661321938,0.8599482661321938
1,178,0.7995574011043229,0.859690180773026,0.859690180773026
1,179,0.8162083524021768,0.8713458466815238,0.8713458466815238
1,180,0.8325689658220721,0.8827982760754505,0.8827982760754505
